Timestamp,Traffic_volume,Holiday,Temp,Rain_1h,Snow_1h,Clouds_all,Weather_main,weather_description
01/07/2015 00:00,737,None,289.2,0,0,1,Clear,sky is clear
01/07/2015 01:00,444,None,289.4,0,0,1,Clear,sky is clear
01/07/2015 02:00,347,None,289.19,0,0,1,Clear,sky is clear
01/07/2015 03:00,356,None,288.74,0.3,0,1,Rain,light rain
01/07/2015 04:00,936,None,288.07,0,0,1,Clear,sky is clear
01/07/2015 05:00,2886,None,287.87,0,0,1,Clear,sky is clear
01/07/2015 06:00,5741,None,287.38,0,0,1,Clear,sky is clear
01/07/2015 07:00,6261,None,287.58,0,0,75,Clouds,broken clouds
01/07/2015 08:00,5335,None,288.08,0,0,57.5,Clouds,broken clouds
01/07/2015 09:00,4409,None,288.58,0,0,40,Clouds,scattered clouds
01/07/2015 10:00,4273,None,289.24,0,0,40,Clouds,scattered clouds
01/07/2015 11:00,4469,None,289.44,0,0,75,Clouds,broken clouds
01/07/2015 12:00,4625,None,290.53,0,0,1,Clear,sky is clear
01/07/2015 13:00,4462,None,292.17,0,0,1,Clear,sky is clear
01/07/2015 14:00,4996,None,293.61,0,0,1,Clear,sky is clear
01/07/2015 15:00,5623,None,294.85,0,0,1,Clear,sky is clear
01/07/2015 16:00,6210,None,295.07,0,0,1,Clear,sky is clear
01/07/2015 17:00,5969,None,295.56,0,0,1,Clear,sky is clear
01/07/2015 18:00,4604,None,295.17,0,0,1,Clear,sky is clear
01/07/2015 19:00,3649,None,294.86,0,0,1,Clear,sky is clear
01/07/2015 20:00,3144,None,293.76,0,0,1,Clear,sky is clear
01/07/2015 21:00,2788,None,291.19,0,0,1,Clear,sky is clear
01/07/2015 22:00,2356,None,289.67,0,0,1,Clear,sky is clear
01/07/2015 23:00,2820,None,288.1,0,0,1,Clear,sky is clear
02/07/2015 00:00,1265,None,287.36,0,0,1,Clear,sky is clear
02/07/2015 01:00,566,None,286.47,0,0,1,Clear,sky is clear
02/07/2015 02:00,373,None,286.22,0,0,1,Clear,sky is clear
02/07/2015 03:00,356,None,285.63,0,0,1,Clear,sky is clear
02/07/2015 04:00,801,None,285.16,0,0,1,Mist,mist
02/07/2015 05:00,2696,None,285.03,0,0,1,Mist,mist
02/07/2015 06:00,5400,None,284.72,0,0,1,Mist,mist
02/07/2015 07:00,5933,None,286.44,0,0,1,Clear,sky is clear
02/07/2015 08:00,4987,None,289.21,0,0,1,Clear,sky is clear
02/07/2015 09:00,4419,None,289.59,0,0,1,Clear,sky is clear
02/07/2015 10:00,4258,None,293.43,0,0,1,Clear,sky is clear
02/07/2015 11:00,4816,None,294.9,0,0,1,Clear,sky is clear
02/07/2015 12:00,5254,None,295.3,0,0,1,Clear,sky is clear
02/07/2015 13:00,5201,None,296.48,0,0,40,Clouds,scattered clouds
02/07/2015 14:00,5601,None,297.07,0,0,40,Clouds,scattered clouds
02/07/2015 15:00,5707,None,297.59,0,0,40,Clouds,scattered clouds
02/07/2015 16:00,5768,None,297.49,0,0,1,Clear,sky is clear
02/07/2015 17:00,4975,None,297.54,0,0,1,Clear,sky is clear
02/07/2015 18:00,3971,None,296.76,0,0,1,Clear,sky is clear
02/07/2015 19:00,3532,None,296.34,0,0,1,Clear,sky is clear
02/07/2015 20:00,2977,None,294.98,0,0,1,Clear,sky is clear
02/07/2015 21:00,2997,None,293.02,0,0,1,Clear,sky is clear
02/07/2015 22:00,2525,None,290.86,0,0,1,Clear,sky is clear
02/07/2015 23:00,1657,None,290.37,0,0,1,Clear,sky is clear
03/07/2015 00:00,959,Independence Day,289.2,0,0,1,Clear,sky is clear
03/07/2015 01:00,615,Independence Day,288.04,0,0,1,Clear,sky is clear
03/07/2015 02:00,456,Independence Day,287.7,0,0,1,Mist,mist
03/07/2015 03:00,359,Independence Day,287.43,0,0,1,Mist,mist
03/07/2015 04:00,464,Independence Day,286.81,0,0,1,Clear,sky is clear
03/07/2015 05:00,961,Independence Day,286.05,0,0,1,Clear,sky is clear
03/07/2015 06:00,1939,Independence Day,285.9,0,0,1,Mist,mist
03/07/2015 07:00,2368,Independence Day,287.42,0,0,1,Clear,sky is clear
03/07/2015 08:00,2523,Independence Day,288.55,0,0,1,Clear,sky is clear
03/07/2015 09:00,3227,Independence Day,292.11,0,0,1,Clear,sky is clear
